中心アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,右アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,左アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,現在の車体中心の緯度,現在の車体中心の経度,現在の車体の方位角,車体姿勢,目標の緯度,目標の経度,目標の方位角,目標位置と現在位置の距離,目標位置と現在姿勢の方位角の差
1729999741.9542904,1729967341.8,36.0832074767,140.0776826167,65.473,4,1729999741.941134,1729967341.8,36.0832051017,140.0776865967,65.50399999999999,4,1729999741.9598305,1729967341.8,36.083209405,140.0776870233,65.5,4,36.083207559990946,140.07768172919995,85.91977418216007,-4.08022581783993,36.08320745169015,140.07768411355718,-5.588173630312758,1.1349412974074637,-1.055993233633212
1729999742.1688995,1729967342.0,36.083207425,140.0776837433,65.462,4,1729999742.1568592,1729967342.0,36.0832050833,140.077687745,65.499,4,1729999742.1655774,1729967342.0,36.0832093983,140.0776881533,65.501,4,36.083207529200116,140.07768260465727,85.38969754344365,-4.610302456556352,36.08320745169015,140.07768411355718,-5.588173630312758,1.0561069050512495,-0.7242751232171478
1729999742.346727,1729967342.2,36.0832074117,140.07768499,65.461,4,1729999742.3341725,1729967342.2,36.0832049817,140.0776889633,65.501,4,1729999742.3495307,1729967342.2,36.0832093067,140.0776893933,65.502,4,36.08320750417667,140.07768374259888,85.59858800138787,-4.401411998612137,36.08320745399375,140.07768412438355,-5.58487920804292,0.9547681277883697,-1.3152106021708503
1729999742.7855117,1729967342.6,36.0832072667,140.0776874433,65.476,4,1729999742.7796154,1729967342.6,36.0832048567,140.07769132,65.493,4,1729999742.7675545,1729967342.6,36.08320915,140.07769177,65.495,4,36.08320742084837,140.07768497303653,85.37632736721316,-4.623672632786834,36.08320625314847,140.07770721240365,-3.8954236043413095,2.927257756890184,0.8615631652138176
1729999742.9498231,1729967342.8,36.0832072183,140.0776884067,65.482,4,1729999742.9409912,1729967342.8,36.0832047467,140.0776923167,65.493,4,1729999742.9533296,1729967342.8,36.0832090767,140.07769276,65.496,4,36.08320729489787,140.07768734125804,85.12672263868254,-4.87327736131747,36.08320625314847,140.07770721240365,-3.8954236043413095,2.7134973259346,1.1101058455430477
1729999743.149278,1729967343.0,36.0832071533,140.0776889717,65.469,4,1729999743.3341422,1729967343.2,36.0832046867,140.0776930317,65.487,4,1729999743.3411772,1729967343.2,36.0832089817,140.0776934967,65.496,4,36.08320719651997,140.07768833391106,85.23944330724466,-4.760556692755349,36.08320625314847,140.07770721240365,-3.8954236043413095,2.623571305836865,1.1071144358322285
1729999743.529349,1729967343.4,36.0832071133,140.0776891783,65.477,4,1729999743.5361848,1729967343.4,36.0832046833,140.0776930067,65.49,4,1729999743.5434394,1729967343.4,36.083208995,140.077693515,65.495,4,36.083207135274186,140.07768906147297,84.96708414727924,-5.03291585272076,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5577420712216528,1.4378579344716138
1729999743.7304564,1729967343.6,36.083207115,140.07768918,65.476,4,1729999743.7365596,1729967343.6,36.0832046933,140.0776929983,65.489,4,1729999743.7436328,1729967343.6,36.08320899,140.0776934917,65.496,4,36.08320716675101,140.0776890611225,84.5223471584641,-5.477652841535895,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5579949531402986,1.8045615280330558
1729999743.93939,1729967343.8,36.0832071067,140.07768918,65.476,4,1729999743.9293437,1729967343.8,36.0832046983,140.0776930117,65.48599999999999,4,1729999743.944145,1729967343.8,36.0832089867,140.0776935083,65.491,4,36.08320716083249,140.0776890442929,84.66352288778506,-5.3364771122149435,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5594657023008502,1.6802307706160047
1729999744.1546142,1729967344.0,36.0832071083,140.0776892083,65.468,4,1729999744.1485567,1729967344.0,36.0832047,140.0776930317,65.485,4,1729999744.1604156,1729967344.0,36.0832089917,140.0776935033,65.487,4,36.08320716435078,140.0776890596006,84.61878017789762,-5.381219822102377,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5581147006768528,1.7142781234471658
